PGC_name       PGC_no        vrad      e_vrad        vopt      e_vopt           v         e_v        vvir        zvir     z_err          type     objname   hl_names
PGC0001932        1932        3553         7.1      3470.1        11.1      3528.7          27      3447.4      0.0115   9.006e-05        SBbc   PGC001932 6dFJ0031357-103023
PGC0001933        1933       11432         4.5       -9999       -9999       11432         4.5     11474.1     0.03827   1.501e-05          Sc    UGC00316  2MFGC00368
PGC0001936        1936      5364.2         5.9      5392.4          60      5364.5         4.7      5338.7     0.01781   1.568e-05         SBd    UGC00317   PGC001936
PGC0002016        2016      1987.6         3.8      2004.7        17.4      1988.4         3.6        1952    0.006511   1.201e-05         SBd    UGC00328 SDSSJ003322.08-010716.9
PGC0002035        2035      3744.4         4.2      3741.4         9.8      3743.9         2.8      3665.6     0.01223    9.34e-06        SBbc     NGC0151 HIPASSJ0034-09
PGC0002076        2076       -9999       -9999      6209.7        14.9      6209.7        14.9        6126     0.02043    4.97e-05          S0     NGC0155 NPM1G-11.0022
PGC0002149        2149       -9999       -9999        5979          10        5979          10        5898     0.01967   3.336e-05           E     NGC0163 6dFJ0035598-100718
PGC0002151        2151      4931.2           4      4943.3        12.9      4932.3         3.6      4852.3     0.01619   1.201e-05         SBc   PGC002151 HIPASSJ0036-09
PGC0002182        2182        5874        11.5      5882.5         8.8      5879.3         5.8      5798.2     0.01934   1.935e-05        SBbc     NGC0165 6dFJ0036289-100622
PGC0002269        2269      5240.6         6.3        5282        27.6      5242.6         7.8      5165.1     0.01723   2.602e-05        SABc   PGC002269 HIPASSJ0037-09
PGC0002288        2288        5378        10.4        5372        13.9      5375.8         6.3      5417.8     0.01807   2.101e-05          S0    UGC00386 NPM1G+14.0015
PGC0002331        2331       -9999       -9999        5065        57.5        5065        57.5      4988.3     0.01664   0.0001918        SABc     NGC0191 SDSSJ003859.43-090009.3
PGC0002332        2332       -9999       -9999      6126.5        26.9      6126.5        26.9      6049.8     0.02018   8.973e-05          S0      IC1563   PGC002332
PGC0002352        2352        4208         8.5      4199.2        17.8      4206.4           6      4177.7     0.01394   2.001e-05         SBa     NGC0192     HCG007A
PGC0002357        2357        4231         8.5      4233.9        21.1      4231.4         5.7        4203     0.01402   1.901e-05          S0     NGC0196 MCG+00-02-107
PGC0002365        2365        4103        10.5      4139.4        22.7      4109.4        11.9      4080.9     0.01361   3.969e-05        S0-a     NGC0197 MCG+00-02-110
PGC0002388        2388      4399.8         6.7      4411.3        16.7      4401.4         5.1      4372.6     0.01459   1.701e-05        SABc     NGC0201     HCG007C
PGC0002391        2391        4911         7.3      4913.3        16.9      4911.4         4.8      4833.5     0.01612   1.601e-05         SBa     NGC0195 NPM1G-09.0025
PGC0002440        2440      5842.3         5.4      5865.9        15.8      5844.8         6.3      5809.7     0.01938   2.101e-05          Sb      IC1571   PGC002440
PGC0002482        2482        3946         8.5      3973.5         9.9      3957.6        10.6      3875.2     0.01293   3.536e-05        S0-a     NGC0217  2MFGC00504
PGC0002501        2501       -9999       -9999       16699        20.4       16699        20.4     16619.9     0.05544   6.805e-05          S0   PGC002501 NFPJ004150.5-091811
PGC0002522        2522       -9999       -9999      5468.8        23.9      5468.8        23.9      5439.3     0.01814   7.972e-05           E     NGC0219   PGC002522
PGC0002527        2527        5355        10.5      5365.7        16.8        5358         7.2      5328.2     0.01777   2.402e-05        S0-a     NGC0223   PGC002527
PGC0002597        2597      4170.5         4.6      4118.6        27.2      4169.1         6.8      4134.1     0.01379   2.268e-05        SABc     NGC0237 HIPASSJ0043-00
PGC0002600        2600      4457.1         8.9      4457.3        13.5      4457.1         5.2      4493.9     0.01499   1.735e-05        SABc     NGC0234   PGC002600
PGC0002615        2615      5460.2         4.9      5456.2        19.8        5460         3.3      5429.4     0.01811   1.101e-05         SBa    UGC00466    UGC00466
PGC0002768        2768       11785        10.5       11595          37     11770.8        35.9     11808.1     0.03939   0.0001197         Sab    UGC00488   PGC002768
PGC0002800        2800        5765         8.5      5768.6         9.8      5766.5         4.7      5682.9     0.01896   1.568e-05         SBb   PGC002800  2MFGC00572
PGC0002805        2805      1343.8         4.8      1345.4         2.7        1345         1.7        1261    0.004206   5.671e-06         Scd   PGC002805   AGC400387
PGC0002889        2889      5279.2         4.2        5279          14      5279.2         2.8      5248.2     0.01751    9.34e-06          Sc    UGC00507  2MFGC00598
PGC0003072        3072        5475         4.2        5475        18.3        5475         3.1      5509.6     0.01838   1.034e-05        SABc    UGC00533   PGC003072
PGC0003140        3140        5664         8.5      5705.8         2.9      5701.4         9.3      5620.8     0.01875   3.102e-05         SBa     NGC0291 6dFJ0053299-084604
PGC0003232        3232      5434.4           5       -9999       -9999      5434.4           5      5464.1     0.01823   1.668e-05          Sm    UGC00560    UGC00560
PGC0003312        3312       -9999       -9999       13481        24.2       13481        24.2     13437.8     0.04482   8.072e-05           E   PGC003312 SDSSJ005554.54-005514.3
PGC0003314        3314     11928.2         5.1     11931.9        19.3     11928.5         4.1     11960.5      0.0399   1.368e-05          Sc    UGC00572   PGC003314
PGC0003355        3355       -9999       -9999     24686.5        23.4     24686.5        23.4     24716.7     0.08245   7.805e-05          S0    UGC00582 NPM1G+13.0034
PGC0003377        3377      5662.7         3.3      5600.7          80      5662.6         2.9      5575.5      0.0186   9.673e-06        SABc     NGC0309 6dFJ0056427-095450
PGC0003451        3451       -9999       -9999       12300          23       12300          23     12258.7     0.04089   7.672e-05           E   PGC003451 2MASXJ00574534-0024428
PGC0003496        3496        6837         5.5      6863.4        14.9      6840.2         7.1      6751.4     0.02252   2.368e-05         SBm   PGC003496  2MFGC00705
PGC0003563        3563        5507        10.5      5523.1        23.4      5509.7           8        5546      0.0185   2.669e-05        SABa    UGC00615  PGC1481737
PGC0003566        3566        5285        10.4      5288.1        18.1      5285.8         6.4      5250.4     0.01751   2.135e-05        SABc    UGC00618   PGC003566
PGC0003569        3569     12196.3           5     12238.5        33.3     12197.2         5.7     12230.5      0.0408   1.901e-05          Sc    UGC00619  2MFGC00719
PGC0003584        3584      5422.7         5.4      5412.3        17.2      5421.8         4.4      5328.1     0.01777   1.468e-05        SABb   PGC003584 6dFJ0100041-110458
PGC0003620        3620      4551.5           7        4491           1      4492.3         6.3      4407.4      0.0147   2.101e-05           |     NGC0341 6dFJ0100458-091109
PGC0003781        3781       -9999       -9999      5228.9        10.9      5228.9        10.9      5185.2      0.0173   3.636e-05          Sc    UGC00651   PGC003781
PGC0003817        3817       -9999       -9999      5382.3        22.4      5382.3        22.4        5337      0.0178   7.472e-05        E-SO     NGC0359   PGC173343
PGC0003830        3830       -9999       -9999     15218.8        21.9     15218.8        21.9     15176.4     0.05062   7.305e-05           E    UGC00663 6dFJ0104253-001114
PGC0003833        3833       -9999       -9999      5126.7        17.7      5126.7        17.7      5081.2     0.01695   5.904e-05          S0     NGC0364 6dFJ0104409-004810
PGC0003904        3904      5202.2         6.7        5201           5      5201.4         2.9      5163.2     0.01722   9.673e-06           I    UGC00675 SDSSJ010607.17+004633.6
PGC0003960        3960       11479        10.5     11444.8        22.3     11472.8        11.7     11499.9     0.03836   3.903e-05         Sbc      IC1620     KPG022B
PGC0003976        3976       -9999       -9999      5366.6        18.3      5366.6        18.3      5328.7     0.01777   6.104e-05           E     NGC0391   PGC003976
PGC0004116        4116       11527        10.5     11515.3        21.7     11524.8         7.6     11553.1     0.03854   2.535e-05          Sb    UGC00717   PGC004116
PGC0004124        4124     11331.1         5.4     11275.1        18.9     11326.9          11     11355.2     0.03788   3.669e-05         SBb    UGC00719   PGC004124
PGC0004363        4363       -9999       -9999      5276.9        26.7      5276.9        26.7      5231.2     0.01745   8.906e-05           E     NGC0426 NPM1G-00.0041
PGC0004367        4367      1153.3           4      1162.4           7      1155.5         3.7      1116.1    0.003723   1.234e-05        SABm     NGC0428 HIPASSJ0112+00
PGC0004368        4368       -9999       -9999      5633.4        17.7      5633.4        17.7      5587.4     0.01864   5.904e-05          S0     NGC0429 6dFJ0112574-002042
PGC0004376        4376       -9999       -9999      5320.1        18.3      5320.1        18.3      5274.5     0.01759   6.104e-05           E     NGC0430 6dFJ0112599-001509
PGC0004415        4415       -9999       -9999      5165.5        16.7      5165.5        16.7      5120.5     0.01708   5.571e-05         Sab    UGC00771 6dFJ0113418-000610
PGC0004416        4416      1163.3           5        1161           4      1161.9         2.4      1121.7    0.003742   8.006e-06           I    UGC00772   PGC004416
PGC0004484        4484        5629         7.9      5688.6           0      5688.6       -9999      5638.7     0.01881      -99.99        S0-a     NGC0442 SDSSJ011438.64-010114.3
PGC0004485        4485      4635.2         4.9      4650.2        18.5      4636.2         4.3      4597.2     0.01533   1.434e-05          Sc    UGC00790 [RGD2004]J011437.80+011048.0
PGC0004500        4500       -9999       -9999     13454.2        24.6     13454.2        24.6     13411.4     0.04474   8.206e-05           E    UGC00797 ABELL0168:[PL95]BCG
PGC0004540        4540      1761.3         2.5      1795.8        16.6      1762.1         4.1      1712.7    0.005713   1.368e-05        SABc     NGC0450 HIPASSJ0115-00
PGC0004608        4608      5089.6         4.5        5032        23.7      5087.6         8.2        5048     0.01684   2.735e-05          Sm    UGC00823 SDSSJ011635.95+011208.4
PGC0004647        4647       -9999       -9999      1937.9         4.2      1937.9         4.2        1847    0.006161   1.401e-05         SBa   PGC004647 SDSSJ011730.50-091748.4
PGC0004663        4663        4060         5.5      4063.1        51.9        4060         3.9      3972.3     0.01325   1.301e-05         SBm   PGC004663 SDSSJ011748.38-083626.9
PGC0004734        4734        5239         6.1      5218.3         8.1      5231.5         7.9      5184.6     0.01729   2.635e-05         Scd    UGC00847  2MFGC00989
PGC0004793        4793       11205        10.4      4122.5        45.2       11205        10.4     11232.2     0.03747   3.469e-05          S0     NGC0471  PGC1467130
PGC0004805        4805        1743         4.9      1749.3        10.5      1744.1         3.5      1696.5    0.005659   1.167e-05          Sd    UGC00866 HIPASSJ0120-00
PGC0004812        4812       -9999       -9999     14037.8        22.4     14037.8        22.4     13989.5     0.04666   7.472e-05         Sbc    UGC00867   PGC004812
PGC0004897        4897        5127        10.4      5123.9        16.2      5126.1         6.2      5157.5      0.0172   2.068e-05         SBc   PGC004897 MCG+02-04-029
PGC0004899        4899       -9999       -9999        5533        19.9        5533        19.9      5441.4     0.01815   6.638e-05        E-SO     NGC0481 SDSSJ012112.51-091240.4
PGC0004906        4906        5228        10.5      5234.2        17.5      5229.6         6.6        5180     0.01728   2.202e-05         Sab    UGC00892    UGC00892
PGC0004979        4979      2341.2         4.4      2333.4        35.1        2341         3.1      2298.5    0.007667   1.034e-05          Sc     NGC0493 HIPASSJ0122+00
PGC0004992        4992      8142.7           6      8145.2           4      8144.5         2.6      8092.8     0.02699   8.673e-06        SBbc     NGC0497 6dFJ0122238-005231
PGC0005055        5055       -9999       -9999      8264.7        20.8      8264.7        20.8        8214      0.0274   6.938e-05          S0    UGC00928 6dFJ0123124-003828
PGC0005056        5056      7462.7         8.6      7483.9        19.7      7466.1         7.8      7416.6     0.02474   2.602e-05          Sc    UGC00929 6dFJ0123137-002307
PGC0005078        5078       10235        14.1     10241.5        20.4     10237.1         8.5     10265.4     0.03424   2.835e-05          Sa    UGC00933 NPM1G+14.0048
PGC0005220        5220        4719          10        4735           8      4728.7         7.1      4685.8     0.01563   2.368e-05           I    UGC00971 NGC533:[ZM98]0145
PGC0005261        5261        6580        10.5      6579.1        15.7      6579.7         6.3      6605.5     0.02203   2.101e-05          S0      IC1698   PGC005261
PGC0005270        5270     11084.8         4.9     11089.2        20.6       11085         3.1     11109.2     0.03706   1.034e-05          Sb    UGC00985  2MFGC01099
PGC0005271        5271       -9999       -9999      6359.1        13.5      6359.1        13.5      6385.1      0.0213   4.503e-05           E      IC1700   PGC005271
PGC0005291        5291        5107        10.3      5118.6        35.4      5107.9         7.2      5060.2     0.01688   2.402e-05           I    UGC00998 SDSSJ012539.35+000749.4
PGC0005298        5298       -9999       -9999     15762.8        23.3     15762.8        23.3     15789.2     0.05267   7.772e-05          Sc    UGC00999   PGC005298
PGC0005326        5326       -9999       -9999      5418.3        19.3      5418.3        19.3      5363.8     0.01789   6.438e-05           E     NGC0548  DRCG07-056
PGC0005330        5330        1923        10.3      1940.1        16.5      1927.8         8.2      1880.8    0.006274   2.735e-05          Sd    UGC01011 SRGb102.083
PGC0005366        5366        5446        11.5      5443.3        23.1      5445.5         7.2      5399.6     0.01801   2.402e-05           I    UGC01018 SDSSJ012629.38+003256.2
PGC0005415        5415      4508.2           4      4524.8        24.3      4508.7         3.4      4527.7      0.0151   1.134e-05          Sm    UGC01026 SDSSJ012713.11+133608.3
PGC0005436        5436       -9999       -9999      4446.2        26.8      4446.2        26.8      4391.8     0.01465    8.94e-05        S0-a    UGC01040 6dFJ0127359-010619
PGC0005449        5449       -9999       -9999      5241.8        13.2      5241.8        13.2      5187.2      0.0173   4.403e-05           E    UGC01043 6dFJ0127430-010823
PGC0005527        5527        6333         4.2      6353.3        14.8      6334.5         4.6        6354     0.02119   1.534e-05         Sbc    UGC01057   PGC005527
PGC0005539        5539       -9999       -9999      5541.5        21.6      5541.5        21.6      5487.4      0.0183   7.205e-05          Sa     NGC0570 6dFJ0128586-005656
PGC0005540        5540       -9999       -9999      5479.6          15      5479.6          15      5427.4      0.0181   5.003e-05          S0    UGC01062 6dFJ0128596-003343
PGC0005574        5574       -9999       -9999      5189.1           0      5189.1           0      5133.4     0.01712           0          S0    UGC01072 6dFJ0129440-011429
PGC0005645        5645      4519.5         4.4        4506        39.1      4519.4         3.3      4539.8     0.01514   1.101e-05          Sb    UGC01083   PGC005645
PGC0005673        5673      4483.7         3.9        4563          61        4484         4.7      4505.2     0.01503   1.568e-05          Sc    UGC01087 SDSSJ013126.63+141639.0
PGC0005688        5688        5431         8.5      5427.2        21.9      5430.5         5.6      5375.7     0.01793   1.868e-05          Sa     NGC0585 6dFJ0131421-005559
PGC0005771        5771       -9999       -9999      4638.1        16.8      4638.1        16.8        4584     0.01529   5.604e-05        SABc      IC0138   PGC005771
PGC0005776        5776        4971        10.3        4971           5        4971         3.3      4921.2     0.01642   1.101e-05          Sm    UGC01107   PGC005776
PGC0005792        5792      2764.1         3.5      2781.8        18.9      2764.7         3.3      2780.5    0.009275   1.101e-05        SABc    UGC01110   PGC005792
PGC0005803        5803      4722.7         8.9      4564.6           0      4564.6       -9999      4508.5     0.01504      -99.99          Sd    UGC01116 6dFJ0133345-010526
PGC0005830        5830      4666.5         5.9        4664         5.2      4665.1         2.7      4608.9     0.01537   9.006e-06        SBab    UGC01120  2MFGC01193
PGC0005838        5838        4916          10      4907.9         7.2      4910.6         4.9      4854.6     0.01619   1.634e-05         Sab    UGC01123  2MFGC01195
PGC0005932        5932      5870.8         5.1      5875.2        19.8      5871.1         3.7      5771.2     0.01925   1.234e-05         SBb     NGC0624 HIPASSJ0135-09
PGC0005939        5939      5158.9         6.6      5182.4        16.1      5162.3         7.3        5114     0.01706   2.435e-05          Sb     NGC0622   PGC005939
PGC0006004        6004       -9999       -9999     12384.5        37.4     12384.5        37.4       12288     0.04099   0.0001248        E-SO   PGC006004 SDSSJ013715.37-091151.4
PGC0006005        6005       10594           5     10587.5        13.5     10593.2           3     10613.6      0.0354   1.001e-05        SABa    UGC01156 SDSSJ013720.98+142746.4
PGC0006090        6090       -9999       -9999      4981.2        16.2      4981.2        16.2      4934.1     0.01646   5.404e-05          S0    UGC01169   PGC006090
PGC0006155        6155       -9999       -9999       12741        23.4       12741        23.4     12643.5     0.04217   7.805e-05          S0     NGC0647 NPM1G-09.0072
PGC0006193        6193      8124.7         4.6        8143        28.5      8125.1         3.9      8144.9     0.02717   1.301e-05          Sc    UGC01181 SDSSJ014029.99+143122.5
PGC0006292        6292       773.8         3.8         819          30       774.5         4.7       790.9    0.002638   1.568e-05           I    UGC01195   PGC006292
PGC0006309        6309       808.3         5.2       849.3        19.5         811           8       823.2    0.002746   2.669e-05          IB    UGC01200 SDSSJ014248.32+130921.4
PGC0006318        6318       850.5         3.5       849.2         7.2       850.2         2.2       864.8    0.002885   7.338e-06         SBa     NGC0660  2MFGC01291
PGC0006364        6364      2404.5         4.1      2390.8        80.9      2404.5           3      2419.6    0.008071   1.001e-05           I    UGC01211 SDSSJ014355.12+134824.9
PGC0006450        6450       -9999       -9999     15538.2          50     15538.2          50     15435.1     0.05149   0.0001668        E-SO   PGC006450 SDSSJ014528.45-100535.8
PGC0006504        6504      1821.6        10.9       -9999       -9999      1821.6        10.9      1724.8    0.005753   3.636e-05          IB   PGC006504 HIPASSJ0146-08
PGC0006505        6505        3920         4.7      3879.1         4.1      3896.6        14.5      3800.1     0.01268   4.837e-05         SBb      IC0159 6dFJ0146251-083813
PGC0006516        6516      7391.3         6.4       -9999       -9999      7391.3         6.4      7410.2     0.02472   2.135e-05        SABm    UGC01242 SDSSJ014636.91+144131.0
PGC0006627        6627      5014.2         3.8        5054          46      5014.5         3.7      5026.4     0.01677   1.234e-05          Sc    UGC01261  2MFGC01356
PGC0006628        6628      5081.9         4.7       -9999       -9999      5081.9         4.7      5095.2       0.017   1.568e-05           I    UGC01262    UGC01262
PGC0006636        6636      4790.4         4.2       -9999       -9999      4790.4         4.2      4804.1     0.01602   1.401e-05          Sc    UGC01264  2MFGC01362
PGC0006637        6637       -9999       -9999      1609.5        22.6      1609.5        22.6      1504.4    0.005018   7.539e-05          S0   PGC006637  2MFGC01359
PGC0006657        6657       -9999       -9999      5044.7        24.1      5044.7        24.1      5055.5     0.01686   8.039e-05          S0    UGC01271 CGCG437-036
PGC0006667        6667      1991.9         6.5      1986.5         1.9      1986.9         1.7      1882.9    0.006281   5.671e-06         Scd   PGC006667 6dFJ0149104-100339
PGC0006670        6670       -9999       -9999      7871.4          24      7871.4          24      7880.3     0.02629   8.006e-05          Sa    UGC01274  2MFGC01367
PGC0006671        6671        1757         4.3        1746         6.4      1753.5         4.4      1647.8    0.005496   1.468e-05        SABa     NGC0681 6dFJ0149108-102535
PGC0006673        6673       -9999       -9999      5086.9        29.6      5086.9        29.6      5096.8       0.017   9.873e-05           E     NGC0677 MCG+02-05-042
PGC0006678        6678       10020         5.1     10021.2        19.4     10020.1           3     10028.2     0.03345   1.001e-05          Sc    UGC01278 CGCG437-040
PGC0006826        6826      1831.1         4.7      1828.7         8.3      1830.6           3      1727.7    0.005763   1.001e-05         SBc     NGC0701   AGC410368
PGC0006832        6832        1750        24.7     12934.8        26.7     12934.8        26.7     12831.5      0.0428   8.906e-05        SABb      IC1738 6dFJ0151079-094731
PGC0006835        6835       -9999       -9999     12802.6        26.4     12802.6        26.4     12741.5      0.0425   8.806e-05          S0    UGC01321 6dFJ0151107-010141
PGC0006855        6855        4821         5.5      4849.1        27.2      4822.1         5.3      4831.7     0.01612   1.768e-05          Sc    UGC01322 MCG+02-05-053
PGC0006861        6861       -9999       -9999      5390.7        21.5      5390.7        21.5      5293.3     0.01766   7.172e-05        E-SO     NGC0707     NGC0707
PGC0006888        6888       -9999       -9999     17753.8        30.7     17753.8        30.7     17698.8     0.05904   0.0001024          Sb    UGC01333 CGCG386-046
PGC0006982        6982      4555.9         4.5        4603        31.9      4556.8         5.5      4563.9     0.01522   1.835e-05         SBa     NGC0716 SDSSJ015259.68+124230.4
PGC0006986        6986       -9999       -9999     17858.9        25.3     17858.9        25.3       17797     0.05936   8.439e-05         Sab    UGC01354    UGC01354
PGC0007022        7022      7918.4         5.3      7931.3        68.7      7918.5         3.9      7935.7     0.02647   1.301e-05          Sm    UGC01362 SDSSJ015350.68+144551.9
PGC0007042        7042        5092         6.4      5109.1        28.2      5092.8         5.1      5110.7     0.01705   1.701e-05         SBc    UGC01364    UGC01364
PGC0007046        7046        4773          10      4728.9        32.4      4769.2        11.1      4708.6     0.01571   3.703e-05           I    UGC01367 HIPASSJ0154-00A
PGC0007063        7063       -9999       -9999      6225.6        22.2      6225.6        22.2      6236.4      0.0208   7.405e-05         Sab    UGC01370   PGC007063
PGC0007064        7064       -9999       -9999     15639.7        23.7     15639.7        23.7     15535.8     0.05182   7.905e-05        E-SO   PGC007064 6dFJ0154181-094249
PGC0007090        7090      5767.6        10.9        5576        26.1      5739.2        48.7      5681.4     0.01895   0.0001624           E    UGC01382 HIPASSJ0154-00B
PGC0007114        7114        6222           5      6392.6        19.8      6232.2        28.8      6242.6     0.02082   9.607e-05        SABb    UGC01386 MCG+02-05-056
PGC0007118        7118       -9999       -9999      3882.2        11.4      3882.2        11.4      3781.5     0.01261   3.803e-05           E     NGC0731 6dFJ0154562-090039
PGC0007210        7210      8117.9           5      8125.1        19.5      8118.3         3.7      8012.8     0.02673   1.234e-05         SBc   PGC007210 6dFJ0155512-095801
PGC0007246        7246      7666.8         4.6      7661.5        20.3      7666.6         3.6        7675      0.0256   1.201e-05          Sc    UGC01408 CGCG438-003
PGC0007262        7262      1639.8         3.2      1648.6          50      1639.9         2.3      1538.5    0.005132   7.672e-06         SBb     NGC0755   AGC410401
PGC0007328        7328        6693         5.6      6764.6        39.4      6694.4         7.9      6634.4     0.02213   2.635e-05          Sc      IC1756  2MFGC01481
PGC0007341        7341      7929.1         5.3      7938.4         9.9      7931.2         4.2      7946.4     0.02651   1.401e-05          Sa      IC1755  2MFGC01482
PGC0007366        7366      5367.5         4.6        5379         6.8      5371.1         4.7      5267.5     0.01757   1.568e-05          Sb     NGC0747 6dFJ0157305-092744
PGC0007465        7465      7017.5         9.3      6999.7        17.3      7013.5         7.8      6957.9     0.02321   2.602e-05        SBbc     NGC0768 SDSSJ015840.93+003145.1
PGC0007485        7485        4787         5.2        4814        17.7      4789.1         6.2      4691.3     0.01565   2.068e-05         SBc   PGC007485   AGC410414
PGC0007533        7533        4623         5.5      4601.3        16.9      4620.9         5.9      4632.4     0.01545   1.968e-05          Sc    UGC01468 MCG+02-06-007
PGC0007536        7536       -9999       -9999      4625.5        13.8      4625.5        13.8      4637.3     0.01547   4.603e-05          S0     NGC0774   PGC007536
PGC0007574        7574        8324        10.4        8339        18.4      8327.6         7.7      8267.7     0.02758   2.568e-05         Sab    UGC01481 6dFJ0200049-001645
PGC0007632        7632       -9999       -9999      4733.7           0      4733.7           0      4631.4     0.01545           0          Sb     NGC0787 6dFJ0200486-090009
PGC0007654        7654      1610.1         5.2      1641.5        32.3      1610.9           5      1509.3    0.005034   1.668e-05          IB   PGC007654 6dFJ0200551-085033
PGC0007740        7740        5927         6.4      5964.7        11.6      5935.8          12        5876      0.0196   4.003e-05          Sc     NGC0800     KPG052A
PGC0007741        7741      5918.2         7.7      5828.8        16.8      5902.6        24.5      5842.9     0.01949   8.172e-05         SBa     NGC0799 MCG+00-06-023
PGC0007748        7748       -9999       -9999     12824.8        19.7     12824.8        19.7       12760     0.04256   6.571e-05           E    UGC01525 [QR95]:B015943.7-012206
PGC0007806        7806      3864.6           4      3860.5        14.7      3864.3         2.8      3758.3     0.01254    9.34e-06         Scd   PGC007806  2MFGC01562
PGC0007835        7835      3940.6         5.1      3921.5        14.4      3938.5         5.4        3831     0.01278   1.801e-05          Sc     NGC0806  2MFGC01568
PGC0007846        7846       -9999       -9999      3650.5        17.8      3650.5        17.8      3664.8     0.01222   5.937e-05          S0      IC0195     KPG053A
PGC0007856        7856        3646         8.5      3630.7         6.5      3636.4         6.4      3650.7     0.01218   2.135e-05        SBab      IC0196  2MFGC01575
